epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2580.6,0.63612,0.58022,1.2303,0.79071,0.76833,0.82768,0.50088,1.27954,1.14038,2.25181,0.000664889,0.000664889,0.000664889
2,2803.96,0.71802,0.50019,1.30377,0.90631,0.9351,0.9715,0.74383,0.91316,0.62203,1.61431,0.00119973,0.00119973,0.00119973
3,3027.94,0.62045,0.41896,1.20043,0.94374,0.95333,0.98471,0.79097,0.81435,0.58783,1.40101,0.00160257,0.00160257,0.00160257
4,3251.25,0.5611,0.36285,1.15785,0.95927,0.98133,0.98983,0.79954,0.73627,0.45745,1.4305,0.001406,0.001406,0.001406
5,3476.79,0.50758,0.31666,1.09976,0.99165,0.98961,0.99457,0.88377,0.51769,0.29765,1.09648,0.001208,0.001208,0.001208
6,3699.44,0.46797,0.28269,1.07781,0.9883,0.99833,0.99483,0.90005,0.4944,0.27427,1.09033,0.00101,0.00101,0.00101
7,3921.81,0.43023,0.25811,1.04223,0.99791,0.99333,0.99498,0.91437,0.44549,0.24954,1.03449,0.000812,0.000812,0.000812
8,4145.95,0.40888,0.23723,1.02421,0.99518,0.99333,0.99495,0.92421,0.41799,0.23007,0.99778,0.000614,0.000614,0.000614
9,4369.03,0.38779,0.21707,1.01173,0.995,0.99566,0.99498,0.92875,0.41095,0.21662,1.00116,0.000416,0.000416,0.000416
10,4591.58,0.36116,0.19613,0.99416,0.99165,1,0.995,0.94154,0.38292,0.1957,0.9785,0.000218,0.000218,0.000218
