epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,213.372,0.54874,0.39881,1.08732,0.99157,0.995,0.99466,0.90066,0.48192,0.29547,1.07391,0.0668553,9.97333e-05,9.97333e-05
2,424.573,0.52915,0.33073,1.07099,0.99281,0.995,0.99497,0.91187,0.41038,0.27978,1.01054,0.033618,0.000195779,0.000195779
3,641.376,0.5326,0.3292,1.07224,0.99617,1,0.99495,0.91656,0.41009,0.2486,1.01848,0.000376753,0.000287864,0.000287864
4,860.152,0.5244,0.31794,1.06931,0.99933,0.99667,0.995,0.92057,0.40073,0.23204,0.99816,0.00028218,0.00028218,0.00028218
5,1078.93,0.50559,0.30042,1.0566,0.99502,0.99812,0.99498,0.93202,0.38878,0.22124,0.97654,0.00027624,0.00027624,0.00027624
6,1296.58,0.49756,0.29063,1.05249,0.99664,0.99833,0.995,0.92098,0.39777,0.23001,0.99938,0.0002703,0.0002703,0.0002703
7,1510.14,0.49219,0.28935,1.0479,0.99834,0.99983,0.995,0.93304,0.39533,0.22312,0.99373,0.00026436,0.00026436,0.00026436
8,1726.38,0.4823,0.27515,1.04554,0.99676,1,0.99412,0.93429,0.36224,0.19696,0.95927,0.00025842,0.00025842,0.00025842
9,1945.21,0.47238,0.2673,1.03785,0.99834,0.99991,0.995,0.9328,0.3738,0.21125,0.97058,0.00025248,0.00025248,0.00025248
10,2160.98,0.46348,0.26321,1.03167,1,0.99957,0.995,0.93605,0.36692,0.19369,0.96067,0.00024654,0.00024654,0.00024654
11,2384.41,0.46607,0.26032,1.03535,0.99827,1,0.995,0.94199,0.36046,0.19621,0.95823,0.0002406,0.0002406,0.0002406
12,2603.26,0.4536,0.25599,1.02469,0.99834,0.99986,0.995,0.94053,0.35646,0.18711,0.95861,0.00023466,0.00023466,0.00023466
13,2819.14,0.44898,0.25052,1.02222,0.99825,1,0.99498,0.93317,0.37565,0.19893,0.96601,0.00022872,0.00022872,0.00022872
14,3034.99,0.44396,0.2473,1.02067,0.99949,1,0.995,0.94393,0.34451,0.17668,0.94653,0.00022278,0.00022278,0.00022278
